utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545024,2022,12,08,17,17,04,39.850000,32,39.850000,1027,0.000000,0,1670508726,1670544121,0
1670548624,2022,12,08,18,17,04,34.470000,45,26.620000,1027,10.360000,20,1670508726,1670544121,0
1670552224,2022,12,08,19,17,04,29.640000,55,29.640000,1027,1.990000,98,1670508726,1670544121,0
1670555824,2022,12,08,20,17,04,27.730000,59,27.730000,1027,1.990000,145,1670508726,1670544121,0
1670559427,2022,12,08,21,17,07,26.380000,59,26.380000,1027,1.010000,118,1670508726,1670544121,0
1670562646,2022,12,08,22,10,46,21.040000,79,21.040000,1025,0.000000,0,1670508727,1670544122,0
1670566625,2022,12,08,23,17,05,20.880000,68,13.230000,1024,5.750000,100,1670508726,1670544121,0
1670570225,2022,12,09,00,17,05,22.680000,74,16.560000,1024,4.610000,260,1670595172,1670630526,0
1670573823,2022,12,09,01,17,03,20.880000,79,20.880000,1023,0.000000,0,1670595172,1670630526,0
1670577423,2022,12,09,02,17,03,20.880000,79,20.880000,1023,0.000000,0,1670595172,1670630526,0
1670581026,2022,12,09,03,17,06,20.880000,86,20.880000,1023,0.000000,0,1670595172,1670630526,0
1670584624,2022,12,09,04,17,04,20.880000,79,20.880000,1022,0.000000,0,1670595172,1670630526,0
1670588224,2022,12,09,05,17,04,19.080000,86,19.080000,1022,0.000000,0,1670595172,1670630526,0
1670591823,2022,12,09,06,17,03,20.880000,86,20.880000,1022,0.000000,0,1670595172,1670630526,0
1670595428,2022,12,09,07,17,08,19.080000,93,19.080000,1021,0.000000,0,1670595172,1670630526,0
1670598593,2022,12,09,08,09,53,22.780000,86,22.780000,1022,0.000000,0,1670595173,1670630526,40
1670602625,2022,12,09,09,17,05,26.280000,74,26.280000,1022,0.000000,0,1670595172,1670630526,40
1670605776,2022,12,09,10,09,36,33.640000,60,33.640000,1022,0.000000,0,1670595174,1670630527,40
1670609825,2022,12,09,11,17,05,40.770000,54,38.750000,1024,3.440000,280,1670595172,1670630526,0
1670613431,2022,12,09,12,17,11,45.590000,51,39.330000,1023,13.800000,220,1670595172,1670630526,20
1670616692,2022,12,09,13,11,32,46.830000,46,40.320000,1022,16.110000,220,1670595173,1670630526,0
1670620626,2022,12,09,14,17,06,47.500000,43,41.450000,1021,14.970000,230,1670595172,1670630526,75
1670624226,2022,12,09,15,17,06,46.720000,40,41.470000,1021,11.500000,220,1670595172,1670630526,100
1670627825,2022,12,09,16,17,05,45.590000,35,39.670000,1022,12.660000,240,1670595172,1670630526,20
1670631426,2022,12,09,17,17,06,40.410000,29,35.670000,1022,6.910000,210,1670595172,1670630526,0
1670635025,2022,12,09,18,17,05,36.730000,39,36.730000,1022,1.010000,360,1670595172,1670630526,0
1670638625,2022,12,09,19,17,05,32.490000,46,29.280000,1023,3.440000,170,1670595172,1670630526,0
1670642226,2022,12,09,20,17,06,28.870000,57,25.140000,1023,3.440000,150,1670595172,1670630526,0
1670645825,2022,12,09,21,17,05,24.480000,63,24.480000,1021,0.000000,0,1670595172,1670630526,0
1670649426,2022,12,09,22,17,06,25.610000,69,25.610000,1024,0.000000,0,1670595172,1670630526,0
1670653027,2022,12,09,23,17,07,19.080000,73,19.080000,1022,0.000000,0,1670595172,1670630526,0
1670656626,2022,12,10,00,17,06,19.080000,79,19.080000,1022,0.000000,0,1670681618,1670716933,0
1670660227,2022,12,10,01,17,07,15.480000,79,15.480000,1022,0.000000,0,1670681618,1670716933,0
1670663827,2022,12,10,02,17,07,17.280000,79,17.280000,1022,0.000000,0,1670681618,1670716933,0
1670667427,2022,12,10,03,17,07,15.480000,86,15.480000,1022,0.000000,0,1670681618,1670716933,0
1670671026,2022,12,10,04,17,06,15.480000,79,8.150000,1022,4.610000,50,1670681618,1670716933,0
1670674627,2022,12,10,05,17,07,15.480000,86,9.840000,1022,3.440000,100,1670681618,1670716933,0
1670678226,2022,12,10,06,17,06,13.680000,85,13.680000,1022,0.000000,0,1670681618,1670716933,0
1670681825,2022,12,10,07,17,05,30.090000,46,30.090000,1022,1.480000,38,1670681618,1670716933,0
1670685428,2022,12,10,08,17,08,15.480000,79,15.480000,1023,0.000000,0,1670681618,1670716933,0
1670689026,2022,12,10,09,17,06,24.480000,74,24.480000,1024,0.000000,0,1670681618,1670716933,0
1670692625,2022,12,10,10,17,05,33.480000,55,33.480000,1023,0.000000,0,1670681618,1670716933,0
1670696226,2022,12,10,11,17,06,40.210000,39,40.210000,1025,1.990000,327,1670681618,1670716933,0
1670699826,2022,12,10,12,17,06,44.820000,38,40.980000,1024,6.910000,310,1670681618,1670716933,0
1670703425,2022,12,10,13,17,05,48.060000,34,45.480000,1024,5.750000,260,1670681618,1670716933,0
1670707026,2022,12,10,14,17,06,49.980000,30,47.210000,1024,6.910000,270,1670681618,1670716933,0
1670710626,2022,12,10,15,17,06,49.860000,30,49.860000,1025,1.010000,187,1670681618,1670716933,2
1670714226,2022,12,10,16,17,06,48.850000,27,47.120000,1025,4.610000,225,1670681618,1670716933,13
1670717825,2022,12,10,17,17,05,43.860000,32,41.500000,1025,4.340000,202,1670681618,1670716933,27
1670721428,2022,12,10,18,17,08,41.860000,34,41.860000,1026,1.010000,150,1670681618,1670716933,17
1670725025,2022,12,10,19,17,05,36.860000,42,32.630000,1026,5.190000,174,1670681618,1670716933,11
1670728627,2022,12,10,20,17,07,34.860000,46,29.520000,1026,6.170000,172,1670681618,1670716933,7
1670732226,2022,12,10,21,17,06,25.390000,36,17.730000,1019,6.760000,178,1670681618,1670716933,6
1670735825,2022,12,10,22,17,05,19.990000,35,11.010000,1019,7.020000,187,1670681618,1670716933,4
1670739426,2022,12,10,23,17,06,21.790000,35,13.210000,1019,6.980000,191,1670681618,1670716933,5
1670743028,2022,12,11,00,17,08,18.190000,37,8.870000,1019,6.980000,186,1670768063,1670803343,1
1670746625,2022,12,11,01,17,05,18.190000,39,9.880000,1018,5.910000,183,1670768063,1670803343,3
1670750225,2022,12,11,02,17,05,19.990000,39,11.460000,1019,6.510000,182,1670768063,1670803343,4
1670753825,2022,12,11,03,17,05,18.190000,39,9.270000,1019,6.550000,170,1670768063,1670803343,3
1670757426,2022,12,11,04,17,06,18.190000,42,8.780000,1019,7.090000,171,1670768063,1670803343,2
1670761025,2022,12,11,05,17,05,18.190000,43,8.400000,1019,7.540000,164,1670768063,1670803343,2
1670764626,2022,12,11,06,17,06,18.190000,39,9.000000,1018,6.850000,159,1670768063,1670803343,0
1670767779,2022,12,11,07,09,39,18.300000,37,9.590000,1018,6.330000,183,1670768063,1670803343,0
1670771828,2022,12,11,08,17,08,35.850000,35,29.640000,1018,7.810000,175,1670768063,1670803343,0
1670775425,2022,12,11,09,17,05,28.990000,31,20.980000,1016,8.320000,182,1670768063,1670803343,0
1670779025,2022,12,11,10,17,05,43.390000,25,37.040000,1016,12.210000,217,1670768063,1670803343,0
1670782625,2022,12,11,11,17,05,49.860000,25,47.010000,1023,7.000000,143,1670768063,1670803343,0
1670786226,2022,12,11,12,17,06,51.850000,22,47.770000,1021,4.000000,153,1670768063,1670803343,0
1670789826,2022,12,11,13,17,06,52.860000,20,48.790000,1020,5.990000,153,1670768063,1670803343,0
1670793426,2022,12,11,14,17,06,52.860000,21,48.830000,1019,7.000000,157,1670768063,1670803343,0
1670797026,2022,12,11,15,17,06,52.860000,19,48.740000,1018,7.000000,163,1670768063,1670803343,0
1670800626,2022,12,11,16,17,06,50.860000,20,46.600000,1017,5.010000,174,1670768063,1670803343,0
1670804225,2022,12,11,17,17,05,46.850000,25,46.850000,1017,1.990000,360,1670768063,1670803343,1
1670807826,2022,12,11,18,17,06,43.860000,26,43.860000,1017,1.990000,166,1670768063,1670803343,0
1670811425,2022,12,11,19,17,05,41.860000,35,41.860000,1016,1.990000,141,1670768063,1670803343,3
1670815025,2022,12,11,20,17,05,38.860000,39,38.860000,1017,1.010000,360,1670768063,1670803343,22
1670818625,2022,12,11,21,17,05,38.860000,40,38.860000,1016,1.010000,0,1670768063,1670803343,41
1670822226,2022,12,11,22,17,06,36.860000,41,31.240000,1016,7.180000,201,1670768063,1670803343,53
1670825826,2022,12,11,23,17,06,33.850000,47,28.130000,1016,6.420000,199,1670768063,1670803343,61
1670829425,2022,12,12,00,17,05,32.860000,50,25.700000,1015,8.320000,184,1670854506,1670889754,100
1670833026,2022,12,12,01,17,06,33.850000,50,25.410000,1014,11.320000,185,1670854506,1670889754,100
1670836625,2022,12,12,02,17,05,34.860000,51,27.410000,1013,9.710000,185,1670854506,1670889754,100
1670840225,2022,12,12,03,17,05,35.850000,50,33.670000,1013,3.000000,140,1670854506,1670889754,100
1670843826,2022,12,12,04,17,06,34.860000,51,34.860000,1012,1.990000,149,1670854506,1670889754,100
1670847426,2022,12,12,05,17,06,32.860000,55,23.180000,1011,13.710000,205,1670854506,1670889754,100
1670851025,2022,12,12,06,17,05,33.850000,50,33.850000,1010,1.990000,0,1670854506,1670889754,100
1670853846,2022,12,12,07,04,06,34.860000,48,24.870000,1009,16.150000,209,1670854506,1670889754,100
1670857447,2022,12,12,08,04,07,34.860000,48,34.860000,1009,1.010000,156,1670854506,1670889754,100
1670861046,2022,12,12,09,04,06,30.790000,60,18.190000,1003,22.370000,206,1670854506,1670889754,100
1670864646,2022,12,12,10,04,06,29.860000,89,26.910000,1010,3.000000,171,1670854506,1670889754,100
1670868245,2022,12,12,11,04,05,26.850000,90,23.500000,1011,3.000000,360,1670854506,1670889754,100
1670871845,2022,12,12,12,04,05,26.850000,85,21.020000,1010,5.010000,360,1670854506,1670889754,100
1670875448,2022,12,12,13,04,08,28.850000,74,24.440000,1009,4.000000,173,1670854506,1670889754,100
1670879048,2022,12,12,14,04,08,27.860000,73,20.500000,1010,7.000000,150,1670854506,1670889754,100
1670882646,2022,12,12,15,04,06,27.860000,70,22.210000,1010,5.010000,186,1670854506,1670889754,100
1670886245,2022,12,12,16,04,05,25.860000,71,22.370000,1011,3.000000,181,1670854506,1670889754,99
1670889848,2022,12,12,17,04,08,23.860000,70,23.860000,1012,1.010000,147,1670854506,1670889754,83
1670893445,2022,12,12,18,04,05,21.850000,74,17.830000,1012,3.000000,188,1670854506,1670889754,1
1670897046,2022,12,12,19,04,06,20.860000,78,13.980000,1012,5.010000,360,1670854506,1670889754,5
1670900646,2022,12,12,20,04,06,19.850000,80,15.580000,1012,3.000000,133,1670854506,1670889754,9
1670904245,2022,12,12,21,04,05,19.850000,83,15.580000,1012,3.000000,155,1670854506,1670889754,9
1670907846,2022,12,12,22,04,06,19.850000,84,19.850000,1012,1.990000,165,1670854506,1670889754,21
1670911448,2022,12,12,23,04,08,19.850000,86,8.280000,1013,10.650000,249,1670854506,1670889754,31
1670915046,2022,12,13,00,04,06,19.850000,87,7.560000,1012,11.900000,252,1670940948,1670976167,93
1670918646,2022,12,13,01,04,06,18.860000,89,8.580000,1012,8.340000,238,1670940948,1670976167,79
1670922246,2022,12,13,02,04,06,16.860000,89,6.760000,1011,7.560000,247,1670940948,1670976167,84
1670925846,2022,12,13,03,04,06,17.850000,89,8.780000,1012,6.620000,258,1670940948,1670976167,86
1670929446,2022,12,13,04,04,06,19.850000,89,10.940000,1012,6.890000,260,1670940948,1670976167,89
1670933051,2022,12,13,05,04,11,18.860000,87,9.970000,1012,6.640000,231,1670940948,1670976167,91
1670936646,2022,12,13,06,04,06,19.850000,89,10.560000,1013,7.360000,225,1670940948,1670976167,53
1670940250,2022,12,13,07,04,10,19.850000,90,10.400000,1013,7.560000,223,1670940948,1670976167,51
1670943846,2022,12,13,08,04,06,20.860000,89,11.050000,1014,8.320000,228,1670940948,1670976167,49
1670947445,2022,12,13,09,04,05,21.850000,86,9.990000,1014,12.060000,251,1670940948,1670976167,57
1670951053,2022,12,13,10,04,13,23.860000,81,11.770000,1015,13.650000,257,1670940948,1670976167,62
1670954645,2022,12,13,11,04,05,24.850000,78,24.850000,1015,1.010000,360,1670940948,1670976167,58
1670958259,2022,12,13,12,04,19,25.860000,75,25.860000,1014,1.010000,0,1670940948,1670976167,100
1670961845,2022,12,13,13,04,05,26.850000,72,23.500000,1014,3.000000,227,1670940948,1670976167,100
1670965445,2022,12,13,14,04,05,26.850000,68,21.020000,1014,5.010000,229,1670940948,1670976167,100
1670969049,2022,12,13,15,04,09,23.860000,78,23.860000,1014,1.010000,330,1670940948,1670976167,100
1670972645,2022,12,13,16,04,05,23.860000,76,23.860000,1015,1.990000,237,1670940948,1670976167,100
1670976249,2022,12,13,17,04,09,22.860000,76,22.860000,1015,1.010000,182,1670940948,1670976167,99
1670979847,2022,12,13,18,04,07,20.860000,78,8.920000,1015,11.720000,277,1670940948,1670976167,75
1670983446,2022,12,13,19,04,06,18.860000,81,18.860000,1016,1.010000,178,1670940948,1670976167,45
1670987049,2022,12,13,20,04,09,17.850000,84,6.190000,1016,10.000000,266,1670940948,1670976167,62
1670990645,2022,12,13,21,04,05,17.850000,85,17.850000,1016,1.010000,173,1670940948,1670976167,71
1670994245,2022,12,13,22,04,05,17.850000,86,17.850000,1017,1.010000,168,1670940948,1670976167,64
1670997846,2022,12,13,23,04,06,16.860000,86,12.200000,1017,3.000000,154,1670940948,1670976167,55
1671001445,2022,12,14,00,04,05,16.860000,85,16.860000,1017,1.990000,178,1671027388,1671062581,23
1671005046,2022,12,14,01,04,06,18.190000,79,5.590000,1018,12.770000,276,1671027388,1671062581,60
1671008647,2022,12,14,02,04,07,16.390000,78,3.790000,1019,11.650000,275,1671027388,1671062581,49
1671012246,2022,12,14,03,04,06,12.790000,78,0.190000,1019,10.740000,266,1671027388,1671062581,42
1671015846,2022,12,14,04,04,06,12.790000,78,0.500000,1020,9.190000,258,1671027388,1671062581,37
1671019446,2022,12,14,05,04,06,13.860000,85,3.160000,1018,7.520000,245,1671027388,1671062581,34
1671023046,2022,12,14,06,04,06,7.390000,81,-4.470000,1021,7.310000,226,1671027388,1671062581,28
1671026648,2022,12,14,07,04,08,7.390000,83,-5.210000,1023,8.230000,219,1671027388,1671062581,31
1671029916,2022,12,14,07,58,36,18.840000,84,8.290000,1023,8.700000,213,1671027389,1671062583,36
1671033845,2022,12,14,09,04,05,14.590000,73,1.990000,1022,10.560000,241,1671027388,1671062581,37
1671037450,2022,12,14,10,04,10,19.990000,57,9.140000,1020,9.550000,263,1671027388,1671062581,35
1671041046,2022,12,14,11,04,06,27.190000,52,16.470000,1019,12.590000,280,1671027388,1671062581,30
1671044441,2022,12,14,12,00,41,30.960000,49,20.700000,1017,13.820000,286,1671027390,1671062583,0
1671048250,2022,12,14,13,04,10,28.850000,64,28.850000,1019,1.990000,306,1671027388,1671062581,0
1671051846,2022,12,14,14,04,06,30.850000,64,30.850000,1019,1.010000,360,1671027388,1671062581,1
1671055447,2022,12,14,15,04,07,30.850000,63,30.850000,1019,1.990000,167,1671027388,1671062581,1
1671059045,2022,12,14,16,04,05,28.850000,67,28.850000,1019,1.990000,223,1671027388,1671062581,1
1671062649,2022,12,14,17,04,09,25.860000,74,25.860000,1020,1.990000,207,1671027388,1671062581,2
1671066245,2022,12,14,18,04,05,22.860000,76,22.860000,1021,1.990000,149,1671027388,1671062581,0
1671069847,2022,12,14,19,04,07,21.850000,79,17.830000,1021,3.000000,167,1671027388,1671062581,1
1671073446,2022,12,14,20,04,06,20.860000,79,20.860000,1022,1.990000,161,1671027388,1671062581,1
1671077046,2022,12,14,21,04,06,18.860000,80,9.860000,1022,6.780000,225,1671027388,1671062581,2
1671080645,2022,12,14,22,04,05,18.860000,80,9.190000,1022,7.560000,222,1671027388,1671062581,2
1671084247,2022,12,14,23,04,07,17.850000,84,17.850000,1022,1.010000,172,1671027388,1671062581,2
1671087847,2022,12,15,00,04,07,12.790000,80,2.520000,1025,6.820000,215,1671113828,1671148998,7
1671090969,2022,12,15,00,56,09,20.480000,84,12.000000,1025,6.550000,205,1671113829,1671148999,6
1671095047,2022,12,15,02,04,07,10.990000,84,0.540000,1025,6.640000,202,1671113828,1671148998,6
1671098646,2022,12,15,03,04,06,14.860000,85,5.360000,1021,6.460000,198,1671113828,1671148998,6
1671102248,2022,12,15,04,04,08,9.190000,84,-1.680000,1025,6.690000,200,1671113828,1671148998,6
1671105849,2022,12,15,05,04,09,7.390000,85,-4.110000,1025,6.960000,198,1671113828,1671148998,9
1671109446,2022,12,15,06,04,06,5.590000,86,-5.690000,1025,6.420000,196,1671113828,1671148998,25
1671113046,2022,12,15,07,04,06,9.190000,86,-1.170000,1025,6.220000,198,1671113828,1671148998,26
1671116649,2022,12,15,08,04,09,7.390000,84,-2.870000,1025,5.820000,195,1671113828,1671148998,30
1671120249,2022,12,15,09,04,09,16.390000,75,7.110000,1024,6.550000,218,1671113828,1671148998,26
1671123846,2022,12,15,10,04,06,19.990000,66,10.400000,1022,7.760000,242,1671113828,1671148998,24
1671127446,2022,12,15,11,04,06,25.860000,75,16.560000,1022,9.260000,261,1671113828,1671148998,22
1671131047,2022,12,15,12,04,07,28.850000,66,28.850000,1021,1.990000,302,1671113828,1671148998,12
1671134647,2022,12,15,13,04,07,29.860000,64,29.860000,1020,1.990000,279,1671113828,1671148998,11
1671138247,2022,12,15,14,04,07,30.850000,61,26.740000,1019,4.000000,339,1671113828,1671148998,9
1671141846,2022,12,15,15,04,06,31.860000,57,29.160000,1020,3.000000,273,1671113828,1671148998,9
1671145447,2022,12,15,16,04,07,31.860000,54,26.060000,1020,5.990000,315,1671113828,1671148998,9
1671148715,2022,12,15,16,58,35,29.950000,56,23.020000,1020,7.000000,311,1671113828,1671148998,9
1671152647,2022,12,15,18,04,07,25.860000,63,20.980000,1022,4.000000,312,1671113828,1671148998,7
1671156245,2022,12,15,19,04,05,23.860000,65,18.680000,1022,4.000000,360,1671113828,1671148998,5
1671159848,2022,12,15,20,04,08,22.860000,63,18.990000,1023,3.000000,302,1671113828,1671148998,3
1671163446,2022,12,15,21,04,06,22.860000,62,18.990000,1023,3.000000,304,1671113828,1671148998,3
1671167047,2022,12,15,22,04,07,21.850000,65,21.850000,1023,1.010000,0,1671113828,1671148998,2
1671170645,2022,12,15,23,04,05,18.860000,71,9.460000,1023,7.230000,288,1671113828,1671148998,2
1671174245,2022,12,16,00,04,05,18.190000,61,7.560000,1025,8.630000,308,1671200266,1671235416,5
1671177845,2022,12,16,01,04,05,12.790000,60,0.500000,1025,9.190000,308,1671200266,1671235416,2
1671181445,2022,12,16,02,04,05,12.790000,61,1.000000,1026,8.550000,308,1671200266,1671235416,2
1671185046,2022,12,16,03,04,06,10.990000,61,-1.170000,1026,8.520000,305,1671200266,1671235416,1
1671188645,2022,12,16,04,04,05,7.390000,61,-5.080000,1026,7.960000,308,1671200266,1671235416,1
1671192245,2022,12,16,05,04,05,3.790000,62,-8.010000,1027,6.550000,300,1671200266,1671235416,1
1671195847,2022,12,16,06,04,07,7.390000,58,-1.460000,1027,4.740000,313,1671200266,1671235416,0
1671199451,2022,12,16,07,04,11,7.390000,60,7.390000,1028,2.350000,344,1671200266,1671235416,0
1671203046,2022,12,16,08,04,06,12.790000,61,12.790000,1029,2.820000,56,1671200266,1671235416,0
1671206646,2022,12,16,09,04,06,15.850000,77,8.600000,1025,4.610000,68,1671200266,1671235416,0
1671209738,2022,12,16,09,55,38,18.010000,68,18.010000,1026,2.890000,81,1671200267,1671235419,0
1671213845,2022,12,16,11,04,05,21.850000,52,21.850000,1026,0.870000,323,1671200266,1671235416,0
1671217445,2022,12,16,12,04,05,22.860000,46,15.280000,1025,6.060000,325,1671200266,1671235416,0
1671221050,2022,12,16,13,04,10,23.860000,41,23.860000,1024,1.010000,306,1671200266,1671235416,0
1671224646,2022,12,16,14,04,06,25.860000,38,16.590000,1023,9.190000,349,1671200266,1671235416,0
1671228246,2022,12,16,15,04,06,26.850000,37,19.090000,1023,7.270000,2,1671200266,1671235416,0
1671231848,2022,12,16,16,04,08,25.860000,38,19.350000,1024,5.530000,14,1671200266,1671235416,0
1671235445,2022,12,16,17,04,05,23.860000,33,20.120000,1024,3.000000,53,1671200266,1671235416,0
1671239057,2022,12,16,18,04,17,19.850000,35,14.680000,1024,3.560000,11,1671200266,1671235416,0
1671242646,2022,12,16,19,04,06,18.860000,33,18.860000,1025,2.770000,343,1671200266,1671235416,0
1671246245,2022,12,16,20,04,05,15.850000,39,15.850000,1025,2.440000,315,1671200266,1671235416,0
1671249847,2022,12,16,21,04,07,14.590000,37,14.590000,1027,2.660000,294,1671200266,1671235416,0
1671253445,2022,12,16,22,04,05,12.790000,38,6.670000,1027,3.510000,256,1671200266,1671235416,0
1671257047,2022,12,16,23,04,07,12.790000,40,5.590000,1027,4.210000,246,1671200266,1671235416,0
1671260646,2022,12,17,00,04,06,9.190000,42,1.900000,1028,3.890000,204,1671286702,1671321837,0
1671264247,2022,12,17,01,04,07,3.790000,44,-3.100000,1028,3.240000,197,1671286702,1671321837,0
1671267845,2022,12,17,02,04,05,3.790000,44,-3.840000,1029,3.620000,186,1671286702,1671321837,0
1671271065,2022,12,17,02,57,45,17.380000,44,11.860000,1029,3.560000,181,1671286702,1671321837,0
1671275045,2022,12,17,04,04,05,1.990000,45,-4.670000,1029,3.020000,176,1671286702,1671321837,0
1671278647,2022,12,17,05,04,07,1.990000,45,-6.660000,1028,4.050000,175,1671286702,1671321837,0
1671282246,2022,12,17,06,04,06,1.990000,44,-7.040000,1029,4.270000,184,1671286702,1671321837,0
1671285845,2022,12,17,07,04,05,1.990000,46,-8.120000,1030,4.970000,185,1671286702,1671321837,0
1671289445,2022,12,17,08,04,05,1.990000,46,-8.010000,1030,4.900000,184,1671286702,1671321837,0
1671293047,2022,12,17,09,04,07,9.190000,39,0.480000,1029,4.850000,197,1671286702,1671321837,0
1671296645,2022,12,17,10,04,05,19.990000,33,12.090000,1028,5.840000,208,1671286702,1671321837,0
1671300245,2022,12,17,11,04,05,22.860000,44,17.960000,1026,3.670000,225,1671286702,1671321837,0
1671303845,2022,12,17,12,04,05,28.850000,37,25.210000,1024,3.380000,258,1671286702,1671321837,0
1671307445,2022,12,17,13,04,05,30.850000,22,30.850000,1023,1.010000,0,1671286702,1671321837,0
1671311046,2022,12,17,14,04,06,33.850000,21,33.850000,1023,2.640000,311,1671286702,1671321837,0
1671314645,2022,12,17,15,04,05,34.860000,21,34.860000,1023,1.010000,61,1671286702,1671321837,0
1671318246,2022,12,17,16,04,06,33.850000,25,31.420000,1023,3.000000,28,1671286702,1671321837,0
1671321847,2022,12,17,17,04,07,31.860000,26,31.860000,1023,1.010000,0,1671286702,1671321837,0
1671325445,2022,12,17,18,04,05,26.850000,34,22.550000,1023,3.670000,35,1671286702,1671321837,28
1671329047,2022,12,17,19,04,07,23.860000,35,18.270000,1023,4.340000,39,1671286702,1671321837,53
1671332645,2022,12,17,20,04,05,21.850000,37,16.180000,1023,4.140000,35,1671286702,1671321837,67
1671336245,2022,12,17,21,04,05,20.860000,40,16.540000,1023,3.110000,35,1671286702,1671321837,76
1671339845,2022,12,17,22,04,05,16.390000,30,11.460000,1023,3.110000,43,1671286702,1671321837,80
1671343445,2022,12,17,23,04,05,12.790000,30,7.300000,1023,3.150000,34,1671286702,1671321837,84
1671347046,2022,12,18,00,04,06,12.790000,39,6.980000,1024,3.330000,63,1671373137,1671408259,100
1671350649,2022,12,18,01,04,09,10.990000,40,3.900000,1023,3.940000,51,1671373137,1671408259,100
1671354246,2022,12,18,02,04,06,9.190000,40,2.120000,1022,3.760000,59,1671373137,1671408259,100
1671357845,2022,12,18,03,04,05,10.990000,40,3.850000,1022,3.980000,59,1671373137,1671408259,100
1671361445,2022,12,18,04,04,05,10.990000,40,4.420000,1021,3.620000,50,1671373137,1671408259,100
1671365046,2022,12,18,05,04,06,9.190000,39,2.620000,1021,3.470000,45,1671373137,1671408259,100
1671368646,2022,12,18,06,04,06,10.990000,38,4.570000,1020,3.530000,51,1671373137,1671408259,100
1671372246,2022,12,18,07,04,06,9.190000,39,3.250000,1020,3.130000,58,1671373137,1671408259,100
1671375846,2022,12,18,08,04,06,10.990000,39,10.990000,1020,2.390000,80,1671373137,1671408259,100
1671379446,2022,12,18,09,04,06,18.190000,33,18.190000,1019,1.480000,107,1671373137,1671408259,100
1671383046,2022,12,18,10,04,06,21.790000,30,21.790000,1018,1.790000,246,1671373137,1671408259,100
1671386645,2022,12,18,11,04,05,27.190000,30,22.750000,1017,3.830000,239,1671373137,1671408259,100
1671390248,2022,12,18,12,04,08,34.390000,31,28.800000,1015,6.400000,237,1671373137,1671408259,100
1671393850,2022,12,18,13,04,10,37.990000,36,30.690000,1014,11.100000,251,1671373137,1671408259,100
1671397445,2022,12,18,14,04,05,32.860000,42,22.930000,1019,14.380000,248,1671373137,1671408259,100
1671401047,2022,12,18,15,04,07,35.850000,50,33.670000,1020,3.000000,195,1671373137,1671408259,100
1671404645,2022,12,18,16,04,05,33.850000,60,33.850000,1020,1.010000,190,1671373137,1671408259,100
1671408247,2022,12,18,17,04,07,31.860000,70,31.860000,1021,1.010000,159,1671373137,1671408259,100
1671411847,2022,12,18,18,04,07,30.850000,75,23.560000,1021,7.810000,218,1671373137,1671408259,100
1671415445,2022,12,18,19,04,05,29.860000,77,21.760000,1021,8.790000,221,1671373137,1671408259,100
1671419050,2022,12,18,20,04,10,27.860000,79,18.070000,1021,10.980000,232,1671373137,1671408259,100
1671422646,2022,12,18,21,04,06,26.850000,82,17.870000,1022,9.100000,227,1671373137,1671408259,100
1671426246,2022,12,18,22,04,06,26.850000,86,26.850000,1022,1.990000,167,1671373137,1671408259,100
1671429845,2022,12,18,23,04,05,27.860000,87,23.290000,1023,4.000000,122,1671373137,1671408259,99
1671433449,2022,12,19,00,04,09,25.860000,88,15.820000,1023,10.540000,241,1671459571,1671494683,93
1671437047,2022,12,19,01,04,07,21.790000,83,10.760000,1020,10.540000,241,1671459571,1671494683,93
1671440645,2022,12,19,02,04,05,25.860000,90,17.830000,1024,7.360000,220,1671459571,1671494683,87
1671444245,2022,12,19,03,04,05,23.860000,90,16.720000,1024,5.820000,212,1671459571,1671494683,67
1671447846,2022,12,19,04,04,06,22.860000,91,15.240000,1025,6.110000,211,1671459571,1671494683,58
1671451450,2022,12,19,05,04,10,22.860000,91,15.260000,1025,6.080000,209,1671459571,1671494683,58
1671455045,2022,12,19,06,04,05,19.850000,90,12.060000,1025,5.700000,205,1671459571,1671494683,67
1671458646,2022,12,19,07,04,06,10.990000,95,1.720000,1026,5.550000,201,1671459571,1671494683,85
1671462248,2022,12,19,08,04,08,25.120000,92,18.430000,1027,5.570000,195,1671459571,1671494683,87
1671465852,2022,12,19,09,04,12,18.190000,79,9.880000,1026,5.910000,214,1671459571,1671494683,83
1671469449,2022,12,19,10,04,09,28.990000,63,22.370000,1025,6.350000,237,1671459571,1671494683,69
1671473048,2022,12,19,11,04,08,30.850000,71,30.850000,1028,1.010000,307,1671459571,1671494683,57
1671476647,2022,12,19,12,04,07,34.860000,50,34.860000,1028,1.990000,360,1671459571,1671494683,0
1671480250,2022,12,19,13,04,10,37.850000,37,37.850000,1027,1.990000,0,1671459571,1671494683,0
1671483847,2022,12,19,14,04,07,39.850000,37,39.850000,1027,1.990000,0,1671459571,1671494683,0
1671487447,2022,12,19,15,04,07,39.850000,34,39.850000,1028,1.990000,0,1671459571,1671494683,0
1671491049,2022,12,19,16,04,09,39.850000,28,39.850000,1028,1.010000,0,1671459571,1671494683,0
1671494647,2022,12,19,17,04,07,35.850000,40,35.850000,1029,1.990000,269,1671459571,1671494683,0
1671498249,2022,12,19,18,04,09,29.860000,47,29.860000,1030,1.010000,267,1671459571,1671494683,5
1671501850,2022,12,19,19,04,10,25.860000,56,25.860000,1031,1.230000,245,1671459571,1671494683,3
