utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545152,2022,12,08,17,19,12,71.170000,88,72.120000,1021,3.000000,219,1670503945,1670540886,1
1670548750,2022,12,08,18,19,10,70.050000,92,71.080000,1021,1.010000,173,1670503945,1670540886,0
1670552351,2022,12,08,19,19,11,69.300000,96,70.430000,1022,3.000000,171,1670503945,1670540886,0
1670555951,2022,12,08,20,19,11,69.260000,96,70.390000,1022,6.910000,190,1670503945,1670540886,100
1670559553,2022,12,08,21,19,13,68.470000,97,69.570000,1022,5.750000,200,1670503945,1670540886,100
1670563151,2022,12,08,22,19,11,68.500000,97,69.620000,1021,5.750000,190,1670503945,1670540886,100
1670566758,2022,12,08,23,19,18,68.270000,97,69.350000,1021,5.750000,210,1670590388,1670627295,100
1670570355,2022,12,09,00,19,15,67.500000,98,68.560000,1020,1.010000,161,1670590388,1670627295,1
1670573951,2022,12,09,01,19,11,67.680000,98,68.760000,1020,1.010000,207,1670590388,1670627295,1
1670577551,2022,12,09,02,19,11,67.860000,98,68.950000,1020,1.010000,160,1670590388,1670627295,2
1670581158,2022,12,09,03,19,18,67.860000,98,68.950000,1020,1.010000,247,1670590388,1670627295,2
1670584751,2022,12,09,04,19,11,67.590000,98,68.650000,1020,5.030000,213,1670590388,1670627295,2
1670588353,2022,12,09,05,19,13,67.750000,98,68.830000,1021,5.100000,222,1670590388,1670627295,1
1670591752,2022,12,09,06,15,52,68.490000,98,69.640000,1021,3.440000,230,1670590389,1670627295,100
1670595574,2022,12,09,07,19,34,68.830000,98,70.020000,1021,4.140000,215,1670590388,1670627295,100
1670599159,2022,12,09,08,19,19,69.820000,98,71.110000,1022,0.000000,0,1670590388,1670627295,100
1670602753,2022,12,09,09,19,13,72.190000,94,73.530000,1022,3.440000,270,1670590388,1670627295,75
1670606359,2022,12,09,10,19,19,74.860000,85,76.050000,1022,4.610000,260,1670590388,1670627295,75
1670609951,2022,12,09,11,19,11,77.270000,79,78.400000,1021,8.050000,320,1670590388,1670627295,40
1670613559,2022,12,09,12,19,19,78.840000,73,78.840000,1019,6.910000,250,1670590388,1670627295,40
1670617156,2022,12,09,13,19,16,79.610000,67,79.610000,1019,4.610000,0,1670590388,1670627295,20
1670620751,2022,12,09,14,19,11,79.560000,69,79.560000,1019,3.000000,256,1670590388,1670627295,32
1670624351,2022,12,09,15,19,11,78.940000,67,78.940000,1019,1.990000,243,1670590388,1670627295,40
1670627951,2022,12,09,16,19,11,74.680000,76,75.420000,1019,1.010000,215,1670590388,1670627295,0
1670631355,2022,12,09,17,15,55,71.530000,84,72.320000,1019,3.440000,170,1670590389,1670627295,40
1670635151,2022,12,09,18,19,11,69.030000,91,69.910000,1019,1.010000,185,1670590388,1670627295,0
1670638751,2022,12,09,19,19,11,68.140000,91,68.940000,1020,5.750000,200,1670590388,1670627295,0
1670642352,2022,12,09,20,19,12,66.420000,94,67.170000,1020,5.610000,199,1670590388,1670627295,2
1670645825,2022,12,09,21,17,05,65.520000,96,66.270000,1020,0.000000,0,1670590389,1670627295,0
1670649552,2022,12,09,22,19,12,65.860000,96,66.650000,1020,0.000000,0,1670590388,1670627295,0
1670653155,2022,12,09,23,19,15,66.020000,96,66.830000,1020,3.440000,160,1670676830,1670713706,100
1670656752,2022,12,10,00,19,12,67.210000,97,68.180000,1020,5.750000,180,1670676830,1670713706,100
1670660356,2022,12,10,01,19,16,67.240000,97,68.230000,1020,4.610000,180,1670676830,1670713706,100
1670663955,2022,12,10,02,19,15,66.310000,96,67.150000,1020,0.000000,0,1670676830,1670713706,100
1670667556,2022,12,10,03,19,16,65.340000,97,66.130000,1020,0.000000,0,1670676830,1670713706,40
1670671152,2022,12,10,04,19,12,65.190000,97,65.970000,1020,0.000000,0,1670676830,1670713706,75
1670674526,2022,12,10,05,15,26,64.490000,97,65.190000,1020,0.000000,0,1670676831,1670713706,40
1670677776,2022,12,10,06,09,36,65.100000,99,65.970000,1020,0.000000,0,1670676831,1670713706,100
1670681952,2022,12,10,07,19,12,66.380000,99,67.370000,1020,4.610000,0,1670676830,1670713706,100
1670685558,2022,12,10,08,19,18,67.690000,95,68.630000,1021,1.990000,178,1670676830,1670713706,100
1670689151,2022,12,10,09,19,11,69.460000,96,70.610000,1021,1.010000,174,1670676830,1670713706,100
1670692752,2022,12,10,10,19,12,72.190000,91,73.380000,1021,1.990000,148,1670676830,1670713706,100
1670696351,2022,12,10,11,19,11,74.730000,85,75.900000,1019,4.610000,180,1670676830,1670713706,100
1670699952,2022,12,10,12,19,12,78.150000,77,79.290000,1018,8.050000,190,1670676830,1670713706,75
1670703552,2022,12,10,13,19,12,78.210000,75,79.250000,1018,12.660000,190,1670676830,1670713706,75
1670707152,2022,12,10,14,19,12,78.580000,75,79.660000,1017,9.220000,170,1670676830,1670713706,75
1670710751,2022,12,10,15,19,11,75.990000,82,77.140000,1017,5.010000,242,1670676830,1670713706,83
1670714352,2022,12,10,16,19,12,73.330000,86,74.410000,1018,1.010000,212,1670676830,1670713706,87
1670717955,2022,12,10,17,19,15,71.830000,87,72.810000,1018,5.750000,0,1670676830,1670713706,0
1670721481,2022,12,10,18,18,01,70.360000,91,71.370000,1018,3.440000,170,1670676831,1670713706,0
1670725157,2022,12,10,19,19,17,69.730000,92,70.720000,1019,3.440000,170,1670676830,1670713706,40
1670728752,2022,12,10,20,19,12,69.370000,95,70.470000,1019,3.440000,160,1670676830,1670713706,40
1670732351,2022,12,10,21,19,11,68.860000,95,69.910000,1018,5.750000,160,1670676830,1670713706,75
1670735952,2022,12,10,22,19,12,68.810000,96,69.910000,1018,0.000000,0,1670676830,1670713706,75
1670739551,2022,12,10,23,19,11,68.700000,95,69.750000,1018,3.000000,189,1670763271,1670800119,20
1670743153,2022,12,11,00,19,13,68.970000,96,70.090000,1018,3.440000,0,1670763271,1670800119,100
1670746751,2022,12,11,01,19,11,69.150000,96,70.290000,1017,3.440000,0,1670763271,1670800119,100
1670750352,2022,12,11,02,19,12,69.940000,96,71.150000,1017,5.750000,160,1670763271,1670800119,100
1670753954,2022,12,11,03,19,14,69.120000,96,70.230000,1017,3.440000,160,1670763271,1670800119,100
1670757551,2022,12,11,04,19,11,64.540000,96,65.210000,1018,13.800000,40,1670763271,1670800119,100
1670761152,2022,12,11,05,19,12,63.900000,96,64.490000,1018,6.910000,60,1670763271,1670800119,100
1670764753,2022,12,11,06,19,13,63.550000,96,64.130000,1018,5.990000,43,1670763271,1670800119,100
1670768355,2022,12,11,07,19,15,64.060000,97,64.720000,1019,10.000000,321,1670763271,1670800119,100
