utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544911,2022,12,08,17,15,11,30.290000,100,30.290000,1018,0.000000,0,1670506943,1670540556,100
1670548506,2022,12,08,18,15,06,30.420000,100,30.420000,1018,0.000000,0,1670506943,1670540556,100
1670552108,2022,12,08,19,15,08,30.270000,100,22.710000,1018,8.050000,240,1670506943,1670540556,92
1670555707,2022,12,08,20,15,07,30.580000,100,23.070000,1018,8.050000,280,1670506943,1670540556,66
1670559312,2022,12,08,21,15,12,30.510000,93,23.000000,1017,8.050000,250,1670506943,1670540556,55
1670562908,2022,12,08,22,15,08,30.420000,93,21.580000,1017,10.360000,250,1670506943,1670540556,56
1670566517,2022,12,08,23,15,17,30.420000,93,20.500000,1018,12.660000,270,1670593395,1670626957,53
1670570119,2022,12,09,00,15,19,30.380000,93,19.980000,1017,13.800000,290,1670593395,1670626957,10
1670573707,2022,12,09,01,15,07,30.240000,93,19.350000,1018,14.970000,310,1670593395,1670626957,10
1670577307,2022,12,09,02,15,07,30.290000,93,17.870000,1018,19.570000,320,1670593395,1670626957,10
1670580912,2022,12,09,03,15,12,30.070000,93,20.590000,1019,11.500000,330,1670593395,1670626957,10
1670584511,2022,12,09,04,15,11,29.950000,93,19.440000,1019,13.800000,330,1670593395,1670626957,9
1670588112,2022,12,09,05,15,12,30.020000,93,20.530000,1020,11.500000,320,1670593395,1670626957,12
1670591708,2022,12,09,06,15,08,30.150000,93,22.550000,1021,8.050000,310,1670593395,1670626957,19
1670595311,2022,12,09,07,15,11,28.710000,100,18.340000,1021,12.660000,320,1670593395,1670626957,37
1670598911,2022,12,09,08,15,11,30.290000,93,22.730000,1021,8.050000,320,1670593395,1670626957,58
1670602510,2022,12,09,09,15,10,30.420000,93,22.190000,1021,9.220000,320,1670593395,1670626957,68
1670606108,2022,12,09,10,15,08,32.140000,93,24.980000,1021,8.050000,320,1670593395,1670626957,72
1670609712,2022,12,09,11,15,12,33.890000,86,30.880000,1021,3.440000,350,1670593395,1670626957,77
1670613308,2022,12,09,12,15,08,34.120000,86,34.120000,1020,0.000000,0,1670593395,1670626957,100
1670616911,2022,12,09,13,15,11,35.600000,80,35.600000,1020,0.000000,0,1670593395,1670626957,100
1670620511,2022,12,09,14,15,11,35.600000,80,35.600000,1019,0.000000,0,1670593395,1670626957,100
1670624107,2022,12,09,15,15,07,35.560000,80,35.560000,1020,0.000000,0,1670593395,1670626957,100
1670627708,2022,12,09,16,15,08,33.940000,86,29.710000,1019,4.610000,150,1670593395,1670626957,100
1670631308,2022,12,09,17,15,08,33.800000,93,33.800000,1019,0.000000,0,1670593395,1670626957,76
1670634908,2022,12,09,18,15,08,33.800000,93,33.800000,1019,0.000000,0,1670593395,1670626957,2
1670638508,2022,12,09,19,15,08,32.220000,93,24.400000,1018,9.220000,100,1670593395,1670626957,32
1670642108,2022,12,09,20,15,08,32.090000,100,24.930000,1019,8.050000,160,1670593395,1670626957,32
1670645707,2022,12,09,21,15,07,32.090000,100,32.090000,1020,0.000000,0,1670593395,1670626957,30
1670649309,2022,12,09,22,15,09,32.090000,93,25.660000,1019,6.910000,150,1670593395,1670626957,29
1670652907,2022,12,09,23,15,07,31.960000,93,26.380000,1019,5.750000,170,1670679845,1670713359,39
1670656510,2022,12,10,00,15,10,31.930000,93,24.730000,1019,8.050000,170,1670679845,1670713359,100
1670660108,2022,12,10,01,15,08,30.270000,100,21.400000,1018,10.360000,170,1670679845,1670713359,84
1670663718,2022,12,10,02,15,18,30.220000,100,21.330000,1019,10.360000,180,1670679845,1670713359,58
1670667313,2022,12,10,03,15,13,30.150000,100,22.550000,1019,8.050000,190,1670679845,1670713359,45
1670670911,2022,12,10,04,15,11,30.150000,100,21.240000,1019,10.360000,200,1670679845,1670713359,37
1670674507,2022,12,10,05,15,07,28.710000,100,18.880000,1019,11.500000,220,1670679845,1670713359,31
1670678114,2022,12,10,06,15,14,28.690000,100,19.440000,1019,10.360000,230,1670679845,1670713359,3
1670681708,2022,12,10,07,15,08,26.730000,100,18.390000,1020,8.050000,230,1670679845,1670713359,2
1670685308,2022,12,10,08,15,08,27.010000,93,19.560000,1020,6.910000,240,1670679845,1670713359,1
1670688916,2022,12,10,09,15,16,30.490000,86,22.960000,1021,8.050000,280,1670679845,1670713359,1
1670692508,2022,12,10,10,15,08,35.760000,69,27.250000,1021,12.660000,320,1670679845,1670713359,1
1670696107,2022,12,10,11,15,07,41.000000,52,35.220000,1021,9.220000,340,1670679845,1670713359,1
1670699708,2022,12,10,12,15,08,42.930000,49,36.700000,1021,11.500000,310,1670679845,1670713359,0
1670703308,2022,12,10,13,15,08,44.910000,42,40.030000,1021,9.220000,320,1670679845,1670713359,0
1670706907,2022,12,10,14,15,07,44.780000,42,40.950000,1020,6.910000,340,1670679845,1670713359,0
1670710508,2022,12,10,15,15,08,44.940000,42,44.940000,1021,0.000000,0,1670679845,1670713359,0
1670714107,2022,12,10,16,15,07,41.180000,48,41.180000,1021,0.000000,0,1670679845,1670713359,0
1670721329,2022,12,10,18,15,29,30.340000,69,23.560000,1021,6.910000,10,1670679845,1670713359,0
1670724907,2022,12,10,19,15,07,28.350000,74,28.350000,1021,0.000000,0,1670679845,1670713359,0
1670728514,2022,12,10,20,15,14,23.110000,86,14.850000,1022,6.910000,200,1670679845,1670713359,0
1670732107,2022,12,10,21,15,07,26.690000,80,26.690000,1022,0.000000,0,1670679845,1670713359,0
1670735707,2022,12,10,22,15,07,21.310000,93,13.750000,1022,5.750000,230,1670679845,1670713359,0
1670739308,2022,12,10,23,15,08,21.430000,93,21.430000,1022,0.000000,0,1670766294,1670799764,0
1670742907,2022,12,11,00,15,07,21.380000,93,21.380000,1022,0.000000,0,1670766294,1670799764,0
1670746507,2022,12,11,01,15,07,19.540000,86,12.900000,1022,4.610000,110,1670766294,1670799764,0
1670750108,2022,12,11,02,15,08,14.110000,92,14.110000,1022,0.000000,0,1670766294,1670799764,2
1670753710,2022,12,11,03,15,10,19.510000,93,19.510000,1021,0.000000,0,1670766294,1670799764,12
1670757310,2022,12,11,04,15,10,21.310000,86,13.750000,1021,5.750000,140,1670766294,1670799764,30
1670760908,2022,12,11,05,15,08,24.910000,86,18.010000,1021,5.750000,150,1670766294,1670799764,41
1670764508,2022,12,11,06,15,08,17.710000,93,10.760000,1021,4.610000,190,1670766294,1670799764,49
1670768107,2022,12,11,07,15,07,19.850000,93,10.920000,1021,6.910000,190,1670766294,1670799764,13
1670771710,2022,12,11,08,15,10,25.200000,86,15.760000,1021,9.220000,170,1670766294,1670799764,17
1670775308,2022,12,11,09,15,08,32.470000,74,23.590000,1021,11.500000,170,1670766294,1670799764,16
1670778908,2022,12,11,10,15,08,37.900000,70,29.550000,1021,13.800000,170,1670766294,1670799764,16
1670782507,2022,12,11,11,15,07,41.450000,56,33.710000,1020,14.970000,170,1670766294,1670799764,15
1670786110,2022,12,11,12,15,10,44.870000,49,37.780000,1019,16.110000,160,1670766294,1670799764,12
1670789707,2022,12,11,13,15,07,46.580000,42,39.990000,1017,16.110000,170,1670766294,1670799764,4
1670793310,2022,12,11,14,15,10,48.240000,37,41.610000,1017,18.410000,160,1670766294,1670799764,7
1670796907,2022,12,11,15,15,07,46.310000,42,39.630000,1017,16.110000,170,1670766294,1670799764,8
1670800508,2022,12,11,16,15,08,40.980000,52,34.720000,1017,10.360000,150,1670766294,1670799764,8
1670804107,2022,12,11,17,15,07,37.080000,60,28.490000,1016,13.800000,140,1670766294,1670799764,9
1670807711,2022,12,11,18,15,11,33.850000,75,24.840000,1016,12.660000,140,1670766294,1670799764,8
1670811307,2022,12,11,19,15,07,30.310000,86,19.020000,1016,16.110000,140,1670766294,1670799764,10
1670814907,2022,12,11,20,15,07,30.400000,93,19.540000,1016,14.970000,150,1670766294,1670799764,6
1670818507,2022,12,11,21,15,07,30.670000,100,20.340000,1016,13.800000,150,1670766294,1670799764,5
1670822108,2022,12,11,22,15,08,32.220000,93,22.320000,1016,13.800000,160,1670766294,1670799764,5
1670825711,2022,12,11,23,15,11,32.310000,93,22.420000,1017,13.800000,160,1670852741,1670886171,7
1670829307,2022,12,12,00,15,07,33.780000,93,25.750000,1016,10.360000,150,1670852741,1670886171,100
1670832908,2022,12,12,01,15,08,33.890000,100,24.440000,1015,13.800000,150,1670852741,1670886171,85
1670836507,2022,12,12,02,15,07,33.930000,100,24.490000,1015,13.800000,140,1670852741,1670886171,78
1670840109,2022,12,12,03,15,09,33.910000,100,24.460000,1015,13.800000,140,1670852741,1670886171,71
1670843708,2022,12,12,04,15,08,33.930000,100,24.930000,1014,12.660000,140,1670852741,1670886171,96
1670847308,2022,12,12,05,15,08,35.580000,100,27.030000,1014,12.660000,130,1670852741,1670886171,97
1670850908,2022,12,12,06,15,08,35.760000,100,27.250000,1013,12.660000,130,1670852741,1670886171,100
1670853727,2022,12,12,07,02,07,35.670000,100,25.930000,1013,16.110000,130,1670852741,1670886171,100
1670857334,2022,12,12,08,02,14,37.240000,93,27.610000,1013,17.270000,130,1670852741,1670886171,100
1670860928,2022,12,12,09,02,08,37.290000,93,27.660000,1013,17.270000,140,1670852741,1670886171,100
1670864528,2022,12,12,10,02,08,37.510000,100,26.760000,1012,21.850000,140,1670852741,1670886171,100
1670868128,2022,12,12,11,02,08,37.510000,100,26.760000,1011,21.850000,140,1670852741,1670886171,100
1670871727,2022,12,12,12,02,07,39.310000,93,29.410000,1010,20.710000,140,1670852741,1670886171,100
1670875338,2022,12,12,13,02,18,39.490000,100,30.520000,1009,17.270000,140,1670852741,1670886171,100
1670878931,2022,12,12,14,02,11,39.580000,100,30.330000,1009,18.410000,140,1670852741,1670886171,100
1670882530,2022,12,12,15,02,10,41.070000,100,31.980000,1008,19.570000,130,1670852741,1670886171,100
1670886127,2022,12,12,16,02,07,41.070000,100,31.730000,1008,20.710000,130,1670852741,1670886171,100
1670889731,2022,12,12,17,02,11,41.220000,100,32.180000,1008,19.570000,130,1670852741,1670886171,100
1670893327,2022,12,12,18,02,07,41.040000,100,32.850000,1008,16.110000,130,1670852741,1670886171,100
1670896927,2022,12,12,19,02,07,40.960000,93,32.130000,1008,18.410000,130,1670852741,1670886171,100
1670900527,2022,12,12,20,02,07,39.160000,100,29.210000,1007,20.710000,120,1670852741,1670886171,100
1670904127,2022,12,12,21,02,07,37.710000,100,27.280000,1006,20.710000,120,1670852741,1670886171,100
1670907728,2022,12,12,22,02,08,37.740000,100,27.070000,1006,21.850000,130,1670852741,1670886171,100
1670911335,2022,12,12,23,02,15,37.530000,100,27.340000,1005,19.570000,130,1670939186,1670972581,100
1670914929,2022,12,13,00,02,09,37.580000,100,27.720000,1005,18.410000,130,1670939186,1670972581,100
1670918530,2022,12,13,01,02,10,37.720000,100,27.910000,1004,18.410000,120,1670939186,1670972581,100
1670922128,2022,12,13,02,02,08,37.580000,100,26.580000,1003,23.020000,120,1670939186,1670972581,100
1670925727,2022,12,13,03,02,07,37.580000,100,27.120000,1002,20.710000,120,1670939186,1670972581,100
1670929328,2022,12,13,04,02,08,37.720000,100,27.610000,1002,19.570000,140,1670939186,1670972581,100
1670932945,2022,12,13,05,02,25,37.850000,100,27.770000,1000,19.570000,110,1670939186,1670972581,100
1670936528,2022,12,13,06,02,08,39.270000,100,28.830000,999,23.020000,130,1670939186,1670972581,100
1670940144,2022,12,13,07,02,24,39.360000,100,29.210000,998,21.850000,120,1670939186,1670972581,100
1670943729,2022,12,13,08,02,09,40.980000,93,31.100000,998,23.020000,120,1670939186,1670972581,100
1670947329,2022,12,13,09,02,09,41.070000,93,31.460000,997,21.850000,120,1670939186,1670972581,100
1670950941,2022,12,13,10,02,21,41.180000,100,31.140000,997,24.160000,130,1670939186,1670972581,100
1670954529,2022,12,13,11,02,09,43.300000,93,35.190000,996,18.410000,130,1670939186,1670972581,100
1670958136,2022,12,13,12,02,16,46.670000,100,39.560000,994,18.410000,140,1670939186,1670972581,100
1670961738,2022,12,13,13,02,18,49.460000,76,42.760000,993,20.710000,170,1670939186,1670972581,75
1670965328,2022,12,13,14,02,08,44.620000,65,36.390000,994,20.710000,200,1670939186,1670972581,57
1670968928,2022,12,13,15,02,08,41.290000,65,31.510000,994,23.020000,180,1670939186,1670972581,40
1670972534,2022,12,13,16,02,14,37.900000,70,29.550000,995,13.800000,190,1670939186,1670972581,40
1670976127,2022,12,13,17,02,07,34.270000,69,23.070000,995,19.570000,190,1670939186,1670972581,29
1670979730,2022,12,13,18,02,10,32.400000,69,19.990000,995,21.850000,180,1670939186,1670972581,27
1670983329,2022,12,13,19,02,09,30.450000,74,17.850000,995,21.850000,180,1670939186,1670972581,28
1670986928,2022,12,13,20,02,08,30.180000,80,17.580000,994,24.160000,180,1670939186,1670972581,52
1670990531,2022,12,13,21,02,11,30.150000,80,17.670000,994,19.570000,190,1670939186,1670972581,63
1670994135,2022,12,13,22,02,15,29.880000,80,17.330000,995,19.570000,200,1670939186,1670972581,70
1670997727,2022,12,13,23,02,07,28.530000,80,15.930000,995,18.410000,200,1671025630,1671058992,75
1671001333,2022,12,14,00,02,13,28.600000,86,16.000000,994,20.710000,210,1671025630,1671058992,100
1671004927,2022,12,14,01,02,07,28.600000,86,16.000000,994,19.570000,220,1671025630,1671058992,99
1671008528,2022,12,14,02,02,08,28.530000,86,16.300000,995,17.270000,220,1671025630,1671058992,99
1671012131,2022,12,14,03,02,11,28.600000,86,16.410000,995,17.270000,220,1671025630,1671058992,97
1671015728,2022,12,14,04,02,08,28.450000,86,16.210000,995,17.270000,240,1671025630,1671058992,93
1671019327,2022,12,14,05,02,07,28.510000,80,17.600000,996,13.800000,240,1671025630,1671058992,94
1671022928,2022,12,14,06,02,08,29.750000,80,18.720000,996,14.970000,260,1671025630,1671058992,68
1671026528,2022,12,14,07,02,08,28.540000,80,18.140000,997,12.660000,250,1671025630,1671058992,51
1671030128,2022,12,14,08,02,08,30.060000,80,19.110000,998,14.970000,270,1671025630,1671058992,56
1671033727,2022,12,14,09,02,07,30.450000,80,18.090000,999,19.570000,290,1671025630,1671058992,64
1671037335,2022,12,14,10,02,15,32.200000,74,20.050000,999,20.710000,290,1671025630,1671058992,70
1671040928,2022,12,14,11,02,08,32.220000,74,19.760000,999,21.850000,290,1671025630,1671058992,75
1671044538,2022,12,14,12,02,18,33.850000,69,21.630000,999,23.020000,290,1671025630,1671058992,99
1671048132,2022,12,14,13,02,12,32.200000,74,20.050000,1000,20.710000,290,1671025630,1671058992,99
1671051732,2022,12,14,14,02,12,32.000000,69,19.400000,1000,26.460000,300,1671025630,1671058992,100
1671055329,2022,12,14,15,02,09,30.380000,74,17.780000,1001,24.160000,300,1671025630,1671058992,100
1671058927,2022,12,14,16,02,07,30.180000,74,17.730000,1002,19.570000,300,1671025630,1671058992,100
1671062534,2022,12,14,17,02,14,28.720000,80,16.120000,1003,20.710000,290,1671025630,1671058992,100
1671066127,2022,12,14,18,02,07,28.470000,74,15.870000,1003,21.850000,300,1671025630,1671058992,81
1671069734,2022,12,14,19,02,14,26.850000,80,14.250000,1004,17.270000,300,1671025630,1671058992,88
1671073326,2022,12,14,20,02,06,25.230000,80,12.630000,1004,19.570000,290,1671025630,1671058992,86
1671076932,2022,12,14,21,02,12,25.070000,80,12.470000,1004,18.410000,300,1671025630,1671058992,83
1671080528,2022,12,14,22,02,08,25.070000,80,12.470000,1004,20.710000,300,1671025630,1671058992,83
1671084129,2022,12,14,23,02,09,25.070000,80,12.470000,1004,19.570000,310,1671112072,1671145406,84
1671087730,2022,12,15,00,02,10,25.070000,74,12.470000,1003,21.850000,310,1671112072,1671145406,96
1671091330,2022,12,15,01,02,10,25.000000,74,12.400000,1003,23.020000,310,1671112072,1671145406,93
1671094931,2022,12,15,02,02,11,24.840000,74,12.240000,1004,25.320000,310,1671112072,1671145406,96
1671098527,2022,12,15,03,02,07,23.270000,80,10.670000,1004,24.160000,310,1671112072,1671145406,97
1671102129,2022,12,15,04,02,09,21.720000,86,9.120000,1004,20.710000,300,1671112072,1671145406,97
1671105733,2022,12,15,05,02,13,21.360000,79,8.760000,1004,23.020000,300,1671112072,1671145406,97
1671109330,2022,12,15,06,02,10,19.760000,79,7.160000,1004,25.320000,300,1671112072,1671145406,94
1671112927,2022,12,15,07,02,07,21.150000,73,8.550000,1004,24.160000,310,1671112072,1671145406,93
1671116531,2022,12,15,08,02,11,21.270000,73,8.670000,1005,23.020000,300,1671112072,1671145406,93
1671120129,2022,12,15,09,02,09,23.160000,74,10.560000,1005,25.320000,310,1671112072,1671145406,93
1671123729,2022,12,15,10,02,09,24.930000,68,12.330000,1006,27.630000,310,1671112072,1671145406,94
1671127328,2022,12,15,11,02,08,26.850000,63,14.250000,1005,31.070000,300,1671112072,1671145406,95
1671130932,2022,12,15,12,02,12,28.440000,64,15.840000,1005,27.630000,310,1671112072,1671145406,100
1671134531,2022,12,15,13,02,11,28.470000,59,15.870000,1006,28.770000,310,1671112072,1671145406,100
1671138135,2022,12,15,14,02,15,28.560000,59,15.960000,1006,31.070000,300,1671112072,1671145406,100
1671141727,2022,12,15,15,02,07,26.890000,59,14.290000,1007,24.160000,310,1671112072,1671145406,93
1671145329,2022,12,15,16,02,09,24.960000,63,12.360000,1008,21.850000,290,1671112072,1671145406,81
1671148928,2022,12,15,17,02,08,23.230000,68,10.630000,1008,24.160000,290,1671112072,1671145406,72
1671152529,2022,12,15,18,02,09,23.200000,68,10.600000,1008,28.770000,300,1671112072,1671145406,59
1671156127,2022,12,15,19,02,07,21.540000,68,8.940000,1008,23.020000,300,1671112072,1671145406,39
1671159731,2022,12,15,20,02,11,21.400000,68,8.800000,1008,24.160000,310,1671112072,1671145406,33
1671163329,2022,12,15,21,02,09,21.540000,68,8.940000,1008,23.020000,300,1671112072,1671145406,32
1671166929,2022,12,15,22,02,09,22.950000,63,10.350000,1008,21.850000,300,1671112072,1671145406,35
1671170527,2022,12,15,23,02,07,21.450000,68,8.850000,1008,28.770000,300,1671198513,1671231822,45
1671174127,2022,12,16,00,02,07,21.430000,68,8.830000,1008,19.570000,300,1671198513,1671231822,89
1671177727,2022,12,16,01,02,07,19.540000,73,6.940000,1007,24.160000,310,1671198513,1671231822,82
1671181327,2022,12,16,02,02,07,19.760000,73,7.160000,1008,18.410000,300,1671198513,1671231822,86
1671184929,2022,12,16,03,02,09,21.250000,68,8.650000,1007,27.630000,310,1671198513,1671231822,89
1671188528,2022,12,16,04,02,08,21.330000,68,8.730000,1007,29.930000,310,1671198513,1671231822,92
1671192127,2022,12,16,05,02,07,21.330000,68,8.730000,1007,26.460000,310,1671198513,1671231822,93
1671195729,2022,12,16,06,02,09,21.330000,68,8.730000,1008,21.850000,310,1671198513,1671231822,95
1671199333,2022,12,16,07,02,13,19.710000,73,7.110000,1008,17.270000,310,1671198513,1671231822,97
1671202928,2022,12,16,08,02,08,19.740000,68,7.140000,1009,28.770000,310,1671198513,1671231822,98
1671206527,2022,12,16,09,02,07,21.490000,63,8.890000,1009,26.460000,310,1671198513,1671231822,98
1671210128,2022,12,16,10,02,08,23.110000,58,10.510000,1010,33.380000,320,1671198513,1671231822,99
1671213728,2022,12,16,11,02,08,25.000000,54,12.400000,1010,25.320000,300,1671198513,1671231822,99
1671217327,2022,12,16,12,02,07,25.160000,54,12.560000,1010,28.770000,310,1671198513,1671231822,100
1671220930,2022,12,16,13,02,10,24.980000,54,12.380000,1010,29.930000,310,1671198513,1671231822,100
1671224527,2022,12,16,14,02,07,23.630000,58,11.030000,1011,28.770000,300,1671198513,1671231822,100
1671228128,2022,12,16,15,02,08,23.410000,58,10.810000,1011,21.850000,320,1671198513,1671231822,100
1671231730,2022,12,16,16,02,10,21.600000,63,9.000000,1012,19.570000,310,1671198513,1671231822,100
1671235327,2022,12,16,17,02,07,21.450000,63,8.850000,1012,19.570000,320,1671198513,1671231822,100
1671238963,2022,12,16,18,02,43,21.160000,63,8.560000,1012,14.970000,310,1671198513,1671231822,100
1671242527,2022,12,16,19,02,07,21.150000,68,8.550000,1012,17.270000,320,1671198513,1671231822,100
1671246127,2022,12,16,20,02,07,21.240000,68,8.640000,1012,16.110000,310,1671198513,1671231822,100
1671249728,2022,12,16,21,02,08,21.380000,68,8.780000,1012,17.270000,320,1671198513,1671231822,100
1671253327,2022,12,16,22,02,07,21.380000,68,8.780000,1012,18.410000,330,1671198513,1671231822,100
1671256933,2022,12,16,23,02,13,21.450000,73,8.850000,1013,20.710000,320,1671284951,1671318240,100
1671260527,2022,12,17,00,02,07,21.520000,73,8.920000,1012,25.320000,330,1671284951,1671318240,100
1671264132,2022,12,17,01,02,12,21.310000,73,8.710000,1012,16.110000,320,1671284951,1671318240,100
1671267727,2022,12,17,02,02,07,21.240000,68,8.640000,1012,17.270000,320,1671284951,1671318240,100
1671271331,2022,12,17,03,02,11,19.540000,73,6.940000,1013,16.110000,310,1671284951,1671318240,91
1671274928,2022,12,17,04,02,08,16.480000,73,3.880000,1013,16.110000,310,1671284951,1671318240,0
1671278533,2022,12,17,05,02,13,14.490000,79,1.890000,1014,10.360000,290,1671284951,1671318240,63
1671282128,2022,12,17,06,02,08,14.140000,79,1.540000,1014,10.360000,310,1671284951,1671318240,0
1671285728,2022,12,17,07,02,08,14.110000,79,1.510000,1015,14.970000,310,1671284951,1671318240,0
1671289327,2022,12,17,08,02,07,16.160000,73,3.560000,1015,14.970000,300,1671284951,1671318240,75
1671292928,2022,12,17,09,02,08,19.530000,63,6.930000,1016,19.570000,320,1671284951,1671318240,57
1671296527,2022,12,17,10,02,07,21.610000,58,9.010000,1017,18.410000,320,1671284951,1671318240,0
1671300127,2022,12,17,11,02,07,25.050000,50,12.450000,1016,18.410000,320,1671284951,1671318240,0
1671303729,2022,12,17,12,02,09,26.920000,43,14.670000,1016,16.110000,310,1671284951,1671318240,0
1671307327,2022,12,17,13,02,07,28.650000,37,16.050000,1016,19.570000,310,1671284951,1671318240,0
1671310929,2022,12,17,14,02,09,28.890000,37,16.390000,1016,18.410000,310,1671284951,1671318240,0
1671314528,2022,12,17,15,02,08,28.630000,34,16.030000,1017,19.570000,310,1671284951,1671318240,0
1671318127,2022,12,17,16,02,07,25.410000,42,15.370000,1018,10.360000,330,1671284951,1671318240,0
1671321737,2022,12,17,17,02,17,18.070000,57,6.980000,1018,9.220000,330,1671284951,1671318240,0
1671325327,2022,12,17,18,02,07,19.260000,58,7.700000,1019,10.360000,330,1671284951,1671318240,0
1671328927,2022,12,17,19,02,07,15.780000,67,6.030000,1019,6.910000,350,1671284951,1671318240,0
1671332528,2022,12,17,20,02,08,14.040000,67,3.940000,1019,6.910000,320,1671284951,1671318240,0
1671336126,2022,12,17,21,02,06,10.890000,79,1.360000,1020,5.750000,20,1671284951,1671318240,0
1671339727,2022,12,17,22,02,07,10.540000,79,0.970000,1020,5.750000,360,1671284951,1671318240,0
1671343327,2022,12,17,23,02,07,10.850000,79,10.850000,1020,0.000000,0,1671371388,1671404661,0
1671346928,2022,12,18,00,02,08,5.630000,85,-6.200000,1021,6.910000,240,1671371388,1671404661,0
1671350530,2022,12,18,01,02,10,7.140000,85,7.140000,1020,0.000000,0,1671371388,1671404661,0
1671354129,2022,12,18,02,02,09,7.180000,78,7.180000,1021,0.000000,0,1671371388,1671404661,0
1671357728,2022,12,18,03,02,08,6.910000,85,6.910000,1021,0.000000,0,1671371388,1671404661,0
1671361327,2022,12,18,04,02,07,8.690000,78,8.690000,1021,0.000000,0,1671371388,1671404661,0
1671364928,2022,12,18,05,02,08,6.910000,85,6.910000,1021,0.000000,0,1671371388,1671404661,0
1671368527,2022,12,18,06,02,07,8.710000,85,0.250000,1021,4.610000,150,1671371388,1671404661,6
1671372128,2022,12,18,07,02,08,8.710000,85,-2.490000,1021,6.910000,170,1671371388,1671404661,0
1671375728,2022,12,18,08,02,08,12.310000,85,1.850000,1021,6.910000,170,1671371388,1671404661,0
1671379328,2022,12,18,09,02,08,17.740000,73,7.450000,1022,8.050000,160,1671371388,1671404661,0
1671382928,2022,12,18,10,02,08,23.340000,68,12.790000,1022,10.360000,170,1671371388,1671404661,0
1671386528,2022,12,18,11,02,08,27.090000,59,16.840000,1021,11.500000,170,1671371388,1671404661,0
1671390133,2022,12,18,12,02,13,32.310000,51,23.400000,1020,11.500000,160,1671371388,1671404661,0
1671393731,2022,12,18,13,02,11,33.730000,47,24.670000,1019,12.660000,150,1671371388,1671404661,0
1671397328,2022,12,18,14,02,08,35.870000,48,27.860000,1019,11.500000,140,1671371388,1671404661,0
1671400932,2022,12,18,15,02,12,35.780000,48,28.240000,1019,10.360000,130,1671371388,1671404661,0
1671404527,2022,12,18,16,02,07,33.670000,51,25.110000,1019,11.500000,120,1671371388,1671404661,0
1671408130,2022,12,18,17,02,10,28.080000,64,18.660000,1019,10.360000,110,1671371388,1671404661,0
1671411728,2022,12,18,18,02,08,26.260000,63,15.820000,1019,11.500000,120,1671371388,1671404661,0
1671415328,2022,12,18,19,02,08,21.430000,73,11.950000,1020,8.050000,110,1671371388,1671404661,0
1671418929,2022,12,18,20,02,09,22.950000,74,12.290000,1020,10.360000,130,1671371388,1671404661,0
1671422528,2022,12,18,21,02,08,22.910000,74,11.610000,1020,11.500000,130,1671371388,1671404661,0
1671426127,2022,12,18,22,02,07,21.110000,79,11.550000,1020,8.050000,110,1671371388,1671404661,0
1671429728,2022,12,18,23,02,08,21.160000,79,10.800000,1020,9.220000,120,1671457822,1671491083,0
1671433332,2022,12,19,00,02,12,21.060000,79,10.670000,1019,9.220000,130,1671457822,1671491083,0
1671436933,2022,12,19,01,02,13,20.970000,86,10.560000,1019,9.220000,130,1671457822,1671491083,0
1671440527,2022,12,19,02,02,07,19.850000,93,10.920000,1019,6.910000,100,1671457822,1671491083,0
1671444128,2022,12,19,03,02,08,21.400000,86,21.400000,1019,0.000000,0,1671457822,1671491083,100
1671447728,2022,12,19,04,02,08,20.070000,93,9.450000,1019,9.220000,10,1671457822,1671491083,100
1671451335,2022,12,19,05,02,15,18.900000,93,7.270000,1019,10.360000,10,1671457822,1671491083,100
1671454927,2022,12,19,06,02,07,19.400000,93,10.380000,1019,6.910000,20,1671457822,1671491083,100
1671458528,2022,12,19,07,02,08,20.800000,86,10.350000,1020,9.220000,10,1671457822,1671491083,100
1671462132,2022,12,19,08,02,12,19.220000,86,10.170000,1020,6.910000,360,1671457822,1671491083,100
1671465733,2022,12,19,09,02,13,18.340000,86,7.320000,1021,9.220000,350,1671457822,1671491083,100
1671469331,2022,12,19,10,02,11,16.830000,92,6.330000,1021,8.050000,340,1671457822,1671491083,100
1671472930,2022,12,19,11,02,10,31.640000,95,26.310000,1022,5.390000,215,1671457822,1671491083,100
1671476530,2022,12,19,12,02,10,12.790000,94,6.570000,1022,3.580000,252,1671457822,1671491083,100
1671480131,2022,12,19,13,02,11,14.110000,92,2.100000,1022,9.220000,340,1671457822,1671491083,100
1671483735,2022,12,19,14,02,15,14.110000,100,1.510000,1022,10.360000,340,1671457822,1671491083,100
1671487330,2022,12,19,15,02,10,14.110000,100,1.510000,1023,10.360000,340,1671457822,1671491083,40
1671490929,2022,12,19,16,02,09,14.110000,92,2.100000,1025,9.220000,340,1671457822,1671491083,75
1671494532,2022,12,19,17,02,12,14.110000,92,1.510000,1026,12.660000,350,1671457822,1671491083,100
1671498130,2022,12,19,18,02,10,12.310000,85,-0.290000,1027,11.500000,340,1671457822,1671491083,100
1671501731,2022,12,19,19,02,11,10.510000,85,-2.090000,1028,11.500000,340,1671457822,1671491083,100
1671505331,2022,12,19,20,02,11,8.870000,78,-3.730000,1029,11.500000,340,1671457822,1671491083,100
1671508929,2022,12,19,21,02,09,7.230000,78,-5.370000,1030,10.360000,340,1671457822,1671491083,100
